customer_id,name,city,pincode,household_size,profession,is_rural
C00000,Karan Vohra,Kozhikode,110002,7,salaried,False
C00001,Dev Gala,Karaikudi,600001,6,business,False
C00002,Aayush Loyal,Vijayawada,560001,4,salaried,True
C00003,Balvan Dubey,Raipur,600002,3,homemaker,False
C00004,Zehaan Narang,Naihati,110002,5,homemaker,False
C00005,Yatin Sarkar,Motihari,226001,2,salaried,True
C00006,Ekta Arya,Pune,500003,5,salaried,False
C00007,Rajeshri Kurian,Davanagere,110002,5,salaried,False
C00008,Fiyaz Choudhary,Deoghar,560001,3,homemaker,True
C00009,Aarush Mutti,Morbi,600002,7,salaried,False
C00010,Chaaya Mahajan,Mango,600001,4,salaried,False
C00011,Hemani Seth,Panipat,560001,5,salaried,True
C00012,Januja Rattan,Belgaum,560001,4,business,True
C00013,Ojasvi Nayak,Rajpur Sonarpur,500003,1,salaried,False
C00014,Veer Guha,Giridih,110001,6,salaried,False
C00015,Girindra Kunda,Dibrugarh,600002,7,homemaker,False
C00016,Yashvi Sidhu,Salem,500002,4,homemaker,False
C00017,Xiti Patel,Sangli-Miraj & Kupwad,560001,2,student,True
C00018,Jatin Thaman,Amravati,110001,6,salaried,False
C00019,Aashi Rau,Rampur,500002,2,salaried,False
C00020,Peter Sarma,Jhansi,600002,5,business,False
C00021,Chaman Dasgupta,Thane,500001,6,salaried,False
C00022,Bishakha Shenoy,Varanasi,226001,4,homemaker,True
C00023,Robert Mohanty,Nashik,110001,6,business,False
C00024,Inaya Madan,Rewa,700001,5,salaried,True
C00025,Qasim Gokhale,Kulti,500001,3,homemaker,False
C00026,Ikshita Palan,Haridwar,226001,7,homemaker,True
C00027,Hredhaan Chacko,Katni,500003,2,salaried,False
C00028,Hamsini Saraf,Medininagar,110002,5,business,False
C00029,Bhavya Mahajan,Srinagar,600001,3,salaried,False
C00030,Varsha Vasa,Hyderabad,700001,6,salaried,True
C00031,Tarak Rana,Pune,500003,6,salaried,False
C00032,Anusha Deshpande,Agra,600002,5,business,False
C00033,Charles Doshi,Rewa,500003,4,homemaker,False
C00034,Pushti Rajan,Kadapa,110002,6,business,False
C00035,Yashawini Rout,Tiruppur,600002,4,salaried,False
C00036,Maanas Agate,Muzaffarpur,700001,4,business,True
C00037,Ati Ravel,Nagpur,110002,7,salaried,False
C00038,Hemal Krishnan,Kakinada,500002,4,homemaker,False
C00039,Falak Dasgupta,Guntur,600001,1,salaried,False
C00040,Nirja Ramaswamy,Raiganj,700001,7,salaried,True
